Risk Incident ID,Risk Title,Risk Description,Source of Register,Severity,Financial Impact,Date & Time of Creation,Potential Breach,Breach PIC,ORE Reportability,ORE PIC,ORE Case ID,Attachments
RI-20260827-BFBB3D,Potential data transfer detected,Mock incident generated for Data Loss Monitoring. This is sample data for testing the centralised risk incident register.,DLM,Low,High,2026-08-13 17:25:04,,,,,,
RI-20260827-3EDAB3,Unusual file movement,Mock incident generated for Data Loss Monitoring. This is sample data for testing the centralised risk incident register.,DLM,Medium,High,2026-08-04 22:25:04,,,,,,
RI-20260827-1EA50C,Large volume data transfer,Mock incident generated for Data Loss Monitoring. This is sample data for testing the centralised risk incident register.,DLM,Low,High,2026-08-01 23:25:04,,,,,,
RI-20260827-4B704D,Potential confidential data exposure,Mock incident generated for Data Loss Monitoring. This is sample data for testing the centralised risk incident register.,DLM,Medium,Medium,2026-07-30 10:25:04,,,,,,
RI-20260827-74AE64,Data transfer to external destination,Mock incident generated for Data Loss Monitoring. This is sample data for testing the centralised risk incident register.,DLM,Low,High,2026-08-09 14:25:04,,,,,,
RI-20260827-467904,Unusual email attachment activity,Mock incident generated for Data Loss Monitoring. This is sample data for testing the centralised risk incident register.,DLM,High,High,2026-08-06 14:25:04,,,,,,
RI-20260827-C69753,Potential sensitive document sharing,Mock incident generated for Data Loss Monitoring. This is sample data for testing the centralised risk incident register.,DLM,Medium,Low,2026-08-08 14:25:04,,,,,,
RI-20260827-0A59DE,Large file upload detected,Mock incident generated for Data Loss Monitoring. This is sample data for testing the centralised risk incident register.,DLM,High,High,2026-08-03 16:25:04,,,,,,
RI-20260827-3ED777,Unusual cloud storage activity,Mock incident generated for Data Loss Monitoring. This is sample data for testing the centralised risk incident register.,DLM,High,High,2026-08-07 21:25:04,,,,,,
RI-20260827-477514,Potential data leakage event,Mock incident generated for Data Loss Monitoring. This is sample data for testing the centralised risk incident register.,DLM,Medium,Low,2026-07-28 15:25:04,,,,,,
