Risk Incident ID,Risk Title,Risk Description,Source of Register,Severity,Financial Impact,Date & Time of Creation,TCC_System_Affected,TCC_Downtime_Minutes,TCC_Impact_Type,SAAM_Staff_Name,SAAM_Department,SAAM_Anomaly_Type,DLM_Data_Type,DLM_Destination_Channel,DLM_Data_Classification,Status,Potential Breach,Breach PIC,Policies / Regulations Breached,ORE Reportability,ORE PIC,ORE Case ID,Attachments
RI-20260827-C13A3C,Microsoft Teams service disruption,Mock incident generated for Technology Command Centre. This is sample data for testing the centralised risk incident register.,TCC,Medium,Medium,2026-08-10 20:25:04,,,,,,,,,,,,,,,,,
RI-20260827-7858D4,Network connectivity interruption,Mock incident generated for Technology Command Centre. This is sample data for testing the centralised risk incident register.,TCC,Medium,Low,2026-08-15 12:25:04,,,,,,,,,,,,,,,,,
RI-20260827-DC22BF,Production server outage,Mock incident generated for Technology Command Centre. This is sample data for testing the centralised risk incident register.,TCC,Low,Medium,2026-08-23 01:25:04,,,,,,,,,,,,,,,,,
RI-20260827-5DD3EF,Application performance degradation,Mock incident generated for Technology Command Centre. This is sample data for testing the centralised risk incident register.,TCC,Low,Medium,2026-08-08 09:25:04,,,,,,,,,,,,,,,,,
RI-20260827-629D5D,Database connection failure,Mock incident generated for Technology Command Centre. This is sample data for testing the centralised risk incident register.,TCC,Low,Low,2026-07-30 22:25:04,,,,,,,,,,,,,,,,,
RI-20260827-8DA158,Technology infrastructure alert,Mock incident generated for Technology Command Centre. This is sample data for testing the centralised risk incident register.,TCC,High,Low,2026-08-12 19:25:04,,,,,,,,,,,,,,,,,
RI-20260827-E7E3F4,System authentication failure,Mock incident generated for Technology Command Centre. This is sample data for testing the centralised risk incident register.,TCC,High,Medium,2026-08-17 12:25:04,,,,,,,,,,,,,,,,,
RI-20260827-3120C1,Data centre connectivity issue,Mock incident generated for Technology Command Centre. This is sample data for testing the centralised risk incident register.,TCC,Low,Medium,2026-08-16 05:25:04,,,,,,,,,,,,,,,,,
RI-20260827-5E4B5A,Critical application unavailable,Mock incident generated for Technology Command Centre. This is sample data for testing the centralised risk incident register.,TCC,Low,Low,2026-08-27 08:25:04,,,,,,,,,,,,,,,,,
RI-20260827-098DBA,Technology monitoring alert,Mock incident generated for Technology Command Centre. This is sample data for testing the centralised risk incident register.,TCC,Medium,Medium,2026-08-17 09:25:04,,,,,,,,,,,,,,,,,
RI-20260827-BDC531,Unusual staff login activity,Mock incident generated for Staff Anomaly Activity Monitoring. This is sample data for testing the centralised risk incident register.,SAAM,Low,High,2026-08-18 15:25:04,,,,,,,,,,,,,,,,,
RI-20260827-78869B,Multiple failed authentication attempts,Mock incident generated for Staff Anomaly Activity Monitoring. This is sample data for testing the centralised risk incident register.,SAAM,Low,Medium,2026-08-24 17:25:04,,,,,,,,,,,,,,,,,
RI-20260827-BA61E0,Unusual transaction behaviour,Mock incident generated for Staff Anomaly Activity Monitoring. This is sample data for testing the centralised risk incident register.,SAAM,High,Medium,2026-08-03 10:25:04,,,,,,,,,,,,,,,,,
RI-20260827-FEFFD7,Staff account accessed outside normal hours,Mock incident generated for Staff Anomaly Activity Monitoring. This is sample data for testing the centralised risk incident register.,SAAM,Medium,Low,2026-08-24 13:25:04,,,,,,,,,,,,,,,,,
RI-20260827-DED6CE,Anomalous system access,Mock incident generated for Staff Anomaly Activity Monitoring. This is sample data for testing the centralised risk incident register.,SAAM,High,High,2026-08-07 03:25:04,,,,,,,,,,,,,,,,,
RI-20260827-EF11CE,Unusual privileged account activity,Mock incident generated for Staff Anomaly Activity Monitoring. This is sample data for testing the centralised risk incident register.,SAAM,High,High,2026-08-09 10:25:04,,,,,,,,,,,,,,,,,
RI-20260827-605596,Unexpected staff system access,Mock incident generated for Staff Anomaly Activity Monitoring. This is sample data for testing the centralised risk incident register.,SAAM,Medium,Medium,2026-08-21 06:25:04,,,,,,,,,,,,,,,,,
RI-20260827-C2E262,Suspicious login pattern,Mock incident generated for Staff Anomaly Activity Monitoring. This is sample data for testing the centralised risk incident register.,SAAM,High,Medium,2026-08-04 03:25:04,,,,,,,,,,,,,,,,,
RI-20260827-487D30,Multiple unusual access attempts,Mock incident generated for Staff Anomaly Activity Monitoring. This is sample data for testing the centralised risk incident register.,SAAM,High,Medium,2026-08-14 19:25:04,,,,,,,,,,,,,,,,,
RI-20260827-AFE4F9,Anomalous staff activity detected,Mock incident generated for Staff Anomaly Activity Monitoring. This is sample data for testing the centralised risk incident register.,SAAM,Low,Medium,2026-08-22 10:25:04,,,,,,,,,,,,,,,,,
RI-20260827-BFBB3D,Potential data transfer detected,Mock incident generated for Data Loss Monitoring. This is sample data for testing the centralised risk incident register.,DLM,Low,High,2026-08-13 17:25:04,,,,,,,,,,,,,,,,,
RI-20260827-3EDAB3,Unusual file movement,Mock incident generated for Data Loss Monitoring. This is sample data for testing the centralised risk incident register.,DLM,Medium,High,2026-08-04 22:25:04,,,,,,,,,,,,,,,,,
RI-20260827-1EA50C,Large volume data transfer,Mock incident generated for Data Loss Monitoring. This is sample data for testing the centralised risk incident register.,DLM,Low,High,2026-08-01 23:25:04,,,,,,,,,,,,,,,,,
RI-20260827-4B704D,Potential confidential data exposure,Mock incident generated for Data Loss Monitoring. This is sample data for testing the centralised risk incident register.,DLM,Medium,Medium,2026-07-30 10:25:04,,,,,,,,,,,,,,,,,
RI-20260827-74AE64,Data transfer to external destination,Mock incident generated for Data Loss Monitoring. This is sample data for testing the centralised risk incident register.,DLM,Low,High,2026-08-09 14:25:04,,,,,,,,,,,,,,,,,
RI-20260827-467904,Unusual email attachment activity,Mock incident generated for Data Loss Monitoring. This is sample data for testing the centralised risk incident register.,DLM,High,High,2026-08-06 14:25:04,,,,,,,,,,,,,,,,,
RI-20260827-C69753,Potential sensitive document sharing,Mock incident generated for Data Loss Monitoring. This is sample data for testing the centralised risk incident register.,DLM,Medium,Low,2026-08-08 14:25:04,,,,,,,,,,,,,,,,,
RI-20260827-0A59DE,Large file upload detected,Mock incident generated for Data Loss Monitoring. This is sample data for testing the centralised risk incident register.,DLM,High,High,2026-08-03 16:25:04,,,,,,,,,,,,,,,,,
RI-20260827-3ED777,Unusual cloud storage activity,Mock incident generated for Data Loss Monitoring. This is sample data for testing the centralised risk incident register.,DLM,High,High,2026-08-07 21:25:04,,,,,,,,,,,,,,,,,
RI-20260827-477514,Potential data leakage event,Mock incident generated for Data Loss Monitoring. This is sample data for testing the centralised risk incident register.,DLM,Medium,Low,2026-07-28 15:25:04,,,,,,,,,,,,,,,,,
RI-20260827-953640,Process failure resulting in operational impact,Mock incident generated for Operational Risk Events. This is sample data for testing the centralised risk incident register.,ORE,High,Medium,2026-07-28 04:25:04,,,,,,,,,,,,,,,,,
RI-20260827-59A1C6,Customer service disruption,Mock incident generated for Operational Risk Events. This is sample data for testing the centralised risk incident register.,ORE,Medium,Low,2026-08-26 12:25:04,,,,,,,,,,,,,,,,,
RI-20260827-A55121,Operational procedure not followed,Mock incident generated for Operational Risk Events. This is sample data for testing the centralised risk incident register.,ORE,High,High,2026-08-21 16:25:04,,,,,,,,,,,,,,,,,
RI-20260827-D089D3,Processing error identified,Mock incident generated for Operational Risk Events. This is sample data for testing the centralised risk incident register.,ORE,Low,Low,2026-08-11 23:25:04,,,,,,,,,,,,,,,,,
RI-20260827-D54AAC,Control weakness identified,Mock incident generated for Operational Risk Events. This is sample data for testing the centralised risk incident register.,ORE,Low,Low,2026-08-24 02:25:04,,,,,,,,,,,,,,,,,
RI-20260827-775BD6,Operational incident requiring review,Mock incident generated for Operational Risk Events. This is sample data for testing the centralised risk incident register.,ORE,Low,Medium,2026-08-14 00:25:04,,,,,,,,,,,,,,,,,
RI-20260827-866234,Incorrect processing identified,Mock incident generated for Operational Risk Events. This is sample data for testing the centralised risk incident register.,ORE,Low,Medium,2026-07-31 07:25:04,,,,,,,,,,,,,,,,,
RI-20260827-622D7D,Manual process failure,Mock incident generated for Operational Risk Events. This is sample data for testing the centralised risk incident register.,ORE,Medium,Medium,2026-08-11 01:25:04,,,,,,,,,,,,,,,,,
RI-20260827-4F05A7,Operational control exception,Mock incident generated for Operational Risk Events. This is sample data for testing the centralised risk incident register.,ORE,Low,Medium,2026-07-27 16:25:04,,,,,,,,,,,,,,,,,
RI-20260827-5C36DC,Business process disruption,Mock incident generated for Operational Risk Events. This is sample data for testing the centralised risk incident register.,ORE,Medium,Low,2026-08-12 13:25:04,,,,,,,,,,,Yes,Alice Tan,,Yes,Farah Ahmad,,
RI-20260830-47210B,MUREX System is down,Please save it as soon as possible,TCC,Low,Low,2026-08-30 00:36:46,Core Banking System,,,,,,,,,Open,,,,,,,
